Date,Name,Year,Letterboxd URI
4/29/2020,The Sixth Sense,1999,https://boxd.it/29Js
4/29/2020,Liar Liar,1997,https://boxd.it/28sg
4/29/2020,Mulan,1998,https://boxd.it/1VFw
4/29/2020,21 Jump Street,2012,https://boxd.it/J0
4/29/2020,Hugo,2011,https://boxd.it/R08
4/29/2020,Shrek,2001,https://boxd.it/29zi
4/29/2020,Shrek 2,2004,https://boxd.it/29z8
4/29/2020,The Babysitter,2017,https://boxd.it/eP1w
4/29/2020,Jumanji,1995,https://boxd.it/1ZLI
4/29/2020,Star Wars,1977,https://boxd.it/72s
4/29/2020,It's Kind of a Funny Story,2010,https://boxd.it/Tfa
4/29/2020,Yesterday,2019,https://boxd.it/iF7M
4/29/2020,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68
4/29/2020,The Silence of the Lambs,1991,https://boxd.it/2aHW
4/29/2020,Can't Buy Me Love,1987,https://boxd.it/1R4c
4/29/2020,Accepted,2006,https://boxd.it/1XO6
4/29/2020,Big,1988,https://boxd.it/271S
4/30/2020,Pitch Perfect,2012,https://boxd.it/3OsE
4/30/2020,Pitch Perfect 2,2015,https://boxd.it/7tNa
4/30/2020,Pitch Perfect 3,2017,https://boxd.it/bUre
4/30/2020,Home Alone,1990,https://boxd.it/29Fg
4/30/2020,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6
4/30/2020,Aladdin,1992,https://boxd.it/29yE
4/30/2020,Rumble Fish,1983,https://boxd.it/2aOI
4/30/2020,Kung Fu Panda,2008,https://boxd.it/1Yws
4/30/2020,Persona,1966,https://boxd.it/29B4
5/1/2020,Monster House,2006,https://boxd.it/1Z2e
5/24/2020,Eddie Murphy: Delirious,1983,https://boxd.it/1Mzk
6/2/2020,The Dark Knight Rises,2012,https://boxd.it/H3m
6/5/2020,Training Day,2001,https://boxd.it/27A4
6/6/2020,Vox Lux,2018,https://boxd.it/fcFk
6/12/2020,Jaws,1975,https://boxd.it/2a5e
6/15/2020,Nightcrawler,2014,https://boxd.it/780m
6/17/2020,The Basketball Diaries,1995,https://boxd.it/1WaO
6/18/2020,Jurassic Park,1993,https://boxd.it/2aA2
7/17/2020,Palm Springs,2020,https://boxd.it/lCXQ
7/17/2020,A Star Is Born,2018,https://boxd.it/aXgc
9/25/2020,Scent of a Woman,1992,https://boxd.it/1YAu
10/3/2020,The Social Dilemma,2020,https://boxd.it/opQI
10/12/2020,Notting Hill,1999,https://boxd.it/2aeK
10/29/2020,Nocturne,2020,https://boxd.it/nTaK
11/20/2020,Parasite,2019,https://boxd.it/hTha
11/20/2020,(500) Days of Summer,2009,https://boxd.it/1EmM
11/21/2020,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
11/21/2020,Mangrove,2020,https://boxd.it/qEAa
11/21/2020,Hamilton,2020,https://boxd.it/kmvE
11/27/2020,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
1/9/2021,Amélie,2001,https://boxd.it/2aUc
1/18/2021,Begin Again,2013,https://boxd.it/5Ybs
1/18/2021,Tenet,2020,https://boxd.it/leq4
1/20/2021,Soul,2020,https://boxd.it/ioLA
3/20/2021,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
3/20/2021,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
6/11/2021,In the Heights,2021,https://boxd.it/gLhu
6/13/2021,Citizen Kane,1941,https://boxd.it/71O
6/20/2021,The Big Lebowski,1998,https://boxd.it/2b6C
6/21/2021,Blindspotting,2018,https://boxd.it/hDMw
7/7/2021,West Side Story,1961,https://boxd.it/28dK
7/8/2021,Taste of Cherry,1997,https://boxd.it/1m8W
7/10/2021,Lost in Translation,2003,https://boxd.it/2b0E
8/25/2021,The Green Knight,2021,https://boxd.it/kuy2
8/26/2021,The Empire Strikes Back,1980,https://boxd.it/27Vw
8/28/2021,Return of the Jedi,1983,https://boxd.it/27Vm
9/20/2021,Help,2021,https://boxd.it/vaiU
9/22/2021,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
9/27/2021,Dune,2021,https://boxd.it/fA7G
9/28/2021,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
9/29/2021,How to Train Your Dragon,2010,https://boxd.it/1WRy
9/29/2021,How to Train Your Dragon 2,2014,https://boxd.it/2TRW
10/9/2021,Maid,2021,https://boxd.it/x3mk
10/24/2021,Minari,2020,https://boxd.it/mL9M
11/8/2021,Scenes from a Marriage,2021,https://boxd.it/wzSU
11/15/2021,The Beatles: Get Back,2021,https://boxd.it/xo7A
11/21/2021,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
12/11/2021,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
12/14/2021,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
12/15/2021,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
12/16/2021,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
12/16/2021,Kill Bill: Vol. 1,2003,https://boxd.it/70w
12/18/2021,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
12/18/2021,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
12/26/2021,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
12/26/2021,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
1/1/2022,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
1/4/2022,Annette,2021,https://boxd.it/f0RS
1/10/2022,Station Eleven,2021,https://boxd.it/sG9O
1/30/2022,The Suicide Squad,2021,https://boxd.it/fw6O
2/9/2022,Drive My Car,2021,https://boxd.it/sv94
2/9/2022,The Fallout,2021,https://boxd.it/tViI
2/13/2022,Normal People,2020,https://boxd.it/q2VY
2/23/2022,The Worst Person in the World,2021,https://boxd.it/oyws
3/1/2022,Spencer,2021,https://boxd.it/qPMG
3/7/2022,The Batman,2022,https://boxd.it/eDGs
6/25/2022,Hustle,2022,https://boxd.it/qpig
7/25/2022,The Gray Man,2022,https://boxd.it/rb7q
7/30/2022,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk
8/13/2022,On the Count of Three,2021,https://boxd.it/tbfI
9/24/2022,See How They Run,2022,https://boxd.it/sNVq
9/25/2022,Dirty Dancing,1987,https://boxd.it/2baY
10/12/2022,Serpico,1973,https://boxd.it/1ZjE
10/12/2022,The Apartment,1960,https://boxd.it/2aGE
10/13/2022,Werewolf by Night,2022,https://boxd.it/xMrO
11/27/2022,Amsterdam,2022,https://boxd.it/oJ58
12/26/2022,Causeway,2022,https://boxd.it/lWQq
12/27/2022,The Banshees of Inisherin,2022,https://boxd.it/p7XS
12/28/2022,Sleepless Night,2013,https://boxd.it/4LeQ
1/3/2023,5 Centimeters per Second,2007,https://boxd.it/16G4
1/6/2023,Bo Burnham: The Inside Outtakes,2022,https://boxd.it/C0h2
1/6/2023,Youth,2015,https://boxd.it/9Y7S
1/7/2023,Midnight in Paris,2011,https://boxd.it/i4a
1/8/2023,Jerrod Carmichael: Rothaniel,2022,https://boxd.it/zW6A
1/30/2023,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2/14/2023,Frances Ha,2012,https://boxd.it/41Xg
2/20/2023,Donald Glover: Weirdo,2012,https://boxd.it/2XHG
2/20/2023,Mistress America,2015,https://boxd.it/9UfS
3/9/2023,Aftersun,2022,https://boxd.it/Arw0
3/10/2023,Trances,1981,https://boxd.it/6pDS
3/18/2023,The Green Years,1963,https://boxd.it/5fVg
3/24/2023,Road to Morocco,1942,https://boxd.it/1ihU
3/31/2023,Corsage,2022,https://boxd.it/xxTS
4/4/2023,Kendrick Lamar Live: The Big Steppers Tour,2022,https://boxd.it/C3rE
4/4/2023,Autumn Sonata,1978,https://boxd.it/1Rio
4/23/2023,Bo Burnham: Inside,2021,https://boxd.it/v2uy
4/27/2023,Drive,2011,https://boxd.it/IG
5/24/2023,One Fine Spring Day,2001,https://boxd.it/3jFC
5/26/2023,Fantasia,1940,https://boxd.it/29HG
5/29/2023,Fresh,2022,https://boxd.it/tCNi
6/1/2023,Runaway,2010,https://boxd.it/Jjc
6/2/2023,Bo Burnham: What.,2013,https://boxd.it/7au4
6/2/2023,Daisy Jones & the Six,2023,https://boxd.it/FmyA
6/9/2023,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC
6/10/2023,Brewster McCloud,1970,https://boxd.it/1tIi
6/12/2023,Souls of Totality,2018,https://boxd.it/itQK
6/12/2023,Puparia,2020,https://boxd.it/sNym
6/18/2023,The Flash,2023,https://boxd.it/9twC
6/23/2023,You Hurt My Feelings,2023,https://boxd.it/xBXu
7/4/2023,Rocky,1976,https://boxd.it/28Uk
7/4/2023,Bo Burnham: Make Happy,2016,https://boxd.it/e436
7/5/2023,Volubilis,2017,https://boxd.it/gN48
7/8/2023,A Thousand and One,2023,https://boxd.it/wi60
7/12/2023,Madeline's Madeline,2018,https://boxd.it/gNmw
7/21/2023,Barbie,2023,https://boxd.it/bCLK
7/30/2023,Oppenheimer,2023,https://boxd.it/wUow
8/7/2023,In the Mood for Love,2000,https://boxd.it/29tE
8/13/2023,Black Panther,2018,https://boxd.it/8MHs
8/16/2023,The Unknown Saint,2019,https://boxd.it/lZZ6
8/16/2023,Short Term 12,2013,https://boxd.it/5f6s
8/16/2023,Elvis,2022,https://boxd.it/mK4w
8/17/2023,The Untamed,2016,https://boxd.it/dwAK
8/18/2023,Stop Making Sense,1984,https://boxd.it/1ygo
8/20/2023,Juno,2007,https://boxd.it/210a
8/20/2023,Superbad,2007,https://boxd.it/20hO
8/23/2023,Paths of Glory,1957,https://boxd.it/29b6
8/24/2023,Tuesday,2015,https://boxd.it/AJsU
8/24/2023,Kick-Ass,2010,https://boxd.it/1zaQ
8/29/2023,No Hard Feelings,2023,https://boxd.it/xouu
9/1/2023,Comet,2014,https://boxd.it/8r08
9/4/2023,Adventureland,2009,https://boxd.it/1JTQ
9/11/2023,III,2019,https://boxd.it/n83C
9/15/2023,Shiva Baby,2020,https://boxd.it/oIv0
9/20/2023,Theater Camp,2023,https://boxd.it/Bfbm
9/22/2023,They Cloned Tyrone,2023,https://boxd.it/rE7a
9/24/2023,Past Lives,2023,https://boxd.it/oNB8
9/27/2023,Bridge to Terabithia,2007,https://boxd.it/28YG
9/29/2023,Bottoms,2023,https://boxd.it/uGf2
10/2/2023,Daisies,1966,https://boxd.it/LZk
10/5/2023,On the Beach at Night Alone,2017,https://boxd.it/fqEK
10/14/2023,Songs My Brothers Taught Me,2015,https://boxd.it/9Thy
10/20/2023,DodgeBall: A True Underdog Story,2004,https://boxd.it/1YAY
10/20/2023,The Invisible Man,1933,https://boxd.it/1VoK
10/22/2023,What We Do in the Shadows,2014,https://boxd.it/7eQy
10/23/2023,Punch-Drunk Love,2002,https://boxd.it/20E4
10/24/2023,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
10/27/2023,Scrapper,2023,https://boxd.it/zht4
11/4/2023,Manchester by the Sea,2016,https://boxd.it/b2L0
11/7/2023,The Boy and the Heron,2023,https://boxd.it/ipeM
11/12/2023,The Death of Stalin,2017,https://boxd.it/ea9Y
11/12/2023,Meeting the Man: James Baldwin in Paris,1970,https://boxd.it/oKjA
11/19/2023,Bright Star,2009,https://boxd.it/1mfI
11/20/2023,Good Will Hunting,1997,https://boxd.it/2ahY
11/20/2023,Ivan's Childhood,1962,https://boxd.it/1j6y
11/23/2023,Chernobyl,2019,https://boxd.it/mkbG
11/23/2023,Planet Earth,2006,https://boxd.it/5Nx8
11/26/2023,Napoleon,2023,https://boxd.it/shJM
11/27/2023,Happiness,1998,https://boxd.it/1VEe
11/28/2023,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w
12/3/2023,La Ciénaga,2001,https://boxd.it/kpk
12/6/2023,Sideways,2004,https://boxd.it/1Y5c
12/10/2023,The Holdovers,2023,https://boxd.it/vHza
12/18/2023,Anatomy of a Fall,2023,https://boxd.it/yuDE
12/19/2023,Cunk on Britain,2018,https://boxd.it/qFnc
12/23/2023,The Piano Teacher,2001,https://boxd.it/2886
12/23/2023,Yuki's Sun,1972,https://boxd.it/d1ws
12/24/2023,Eraserhead,1977,https://boxd.it/299u
12/24/2023,Ninjababy,2021,https://boxd.it/ojtS
12/25/2023,Petite Maman,2021,https://boxd.it/s6je
12/25/2023,Annabelle Comes Home,2019,https://boxd.it/iU5m
12/26/2023,Moana,2016,https://boxd.it/8tfY
12/27/2023,The Shadowless Tower,2023,https://boxd.it/EHaW
12/27/2023,The Crossing,2018,https://boxd.it/jPAm
12/30/2023,Minding the Gap,2018,https://boxd.it/hDNu
1/1/2024,Nomadland,2020,https://boxd.it/lnRy
1/5/2024,Princess Mononoke,1997,https://boxd.it/2b4w
1/5/2024,Suspiria,2018,https://boxd.it/cioI
1/6/2024,Funny Pages,2022,https://boxd.it/lrlm
1/6/2024,One Child Nation,2019,https://boxd.it/kL0Q
1/7/2024,jeen-yuhs: A Kanye Trilogy,2022,https://boxd.it/z7pG
1/7/2024,Under the Skin,2013,https://boxd.it/3mDa
1/8/2024,The King of Comedy,1982,https://boxd.it/2aJS
1/8/2024,After Hours,1985,https://boxd.it/1VfS
1/8/2024,Life Is Flashing Before Your Eyes,1984,https://boxd.it/3Av0
1/8/2024,The Staggering Girl,2019,https://boxd.it/kxou
1/9/2024,Hannah Takes the Stairs,2007,https://boxd.it/22BG
1/13/2024,We Cry Together,2022,https://boxd.it/Ba1G
1/14/2024,Dogtooth,2009,https://boxd.it/158K
1/22/2024,Mean Streets,1973,https://boxd.it/2aSU
1/24/2024,50/50,2011,https://boxd.it/10Tw
1/28/2024,Eyes Wide Shut,1999,https://boxd.it/2axs
1/29/2024,A Ghost Story,2017,https://boxd.it/fb0K
1/29/2024,"Turn Me On, Dammit!",2011,https://boxd.it/b1y
1/29/2024,Little Miss Sunshine,2006,https://boxd.it/29EW
1/30/2024,Leave No Trace,2018,https://boxd.it/fMfM
2/1/2024,Attenberg,2010,https://boxd.it/bzq
2/1/2024,Nothing Ever Really Ends,2016,https://boxd.it/fmHK
2/2/2024,The 1975 'At Their Very Best' Live from Madison Square Garden,2022,https://boxd.it/DyfQ
2/3/2024,Sing Street,2016,https://boxd.it/cOo6
2/3/2024,mid90s,2018,https://boxd.it/fxIa
2/6/2024,All of Us Strangers,2023,https://boxd.it/Bz3C
2/7/2024,The Iron Claw,2023,https://boxd.it/w5Pm
2/17/2024,Bye Bye Tiberias,2023,https://boxd.it/HLiG
2/19/2024,The Trial of Joan of Arc,1962,https://boxd.it/HGe
2/20/2024,The Adults,2023,https://boxd.it/EL1u
2/21/2024,The Fall,2006,https://boxd.it/1NoM
2/24/2024,The Passion of Joan of Arc,1928,https://boxd.it/29DO
2/29/2024,The Mother of All Lies,2023,https://boxd.it/G55e
3/1/2024,My Makhzen and Me,2012,https://boxd.it/5XCC
3/5/2024,The Beguiled,2017,https://boxd.it/dZ1k
3/6/2024,Pretend It's a City,2021,https://boxd.it/tlWs
3/15/2024,Adventure Time,2007,https://boxd.it/bZZ6
3/15/2024,There's Still Tomorrow,2023,https://boxd.it/COrw
3/22/2024,This Is Going to Hurt,2022,https://boxd.it/B0Gk
3/23/2024,The Kid,1921,https://boxd.it/1X5U
3/24/2024,Elephant,2003,https://boxd.it/287i
3/24/2024,John Mulaney: Kid Gorgeous at Radio City,2018,https://boxd.it/iTts
3/27/2024,Jacqueline Novak: Get on Your Knees,2024,https://boxd.it/K74q
4/6/2024,C'mon C'mon,2021,https://boxd.it/nrI0
4/10/2024,Mad God,2021,https://boxd.it/vVPm
4/28/2024,Challengers,2024,https://boxd.it/zld0
4/30/2024,Vampire Hunter D: Bloodlust,2000,https://boxd.it/1L3i
5/2/2024,The Year Between,2022,https://boxd.it/ywNG
5/11/2024,April Story,1998,https://boxd.it/2n9o
5/25/2024,And So We Put Goldfish in the Pool.,2017,https://boxd.it/ge6o
5/26/2024,Blue Valentine,2010,https://boxd.it/MxG
5/27/2024,Boiling Point,2021,https://boxd.it/uo2u
5/29/2024,The Interview,2014,https://boxd.it/6KQ4
5/31/2024,I'll Never Cry,1957,https://boxd.it/oQMy
6/4/2024,Boiling Point,2023,https://boxd.it/J00O
6/7/2024,Hardcore,1979,https://boxd.it/XyA
6/8/2024,The Open Door,1963,https://boxd.it/aJ0E
6/8/2024,Late Night with the Devil,2023,https://boxd.it/zo6G
6/12/2024,Hit Man,2023,https://boxd.it/ANB2
6/16/2024,Civil War,2024,https://boxd.it/z1jW
6/20/2024,The Pop Out: Ken & Friends,2024,https://boxd.it/NQLK
7/1/2024,Am I OK?,2022,https://boxd.it/nPqY
7/2/2024,Night of the Living Dead,1968,https://boxd.it/1WwA
7/4/2024,Wristcutters: A Love Story,2006,https://boxd.it/1QBY
7/17/2024,The Breakfast Club,1985,https://boxd.it/27q4
7/22/2024,Little Women,2019,https://boxd.it/aSVk
8/2/2024,Actual People,2021,https://boxd.it/vVFG
8/8/2024,Crossing the Bridge: The Sound of Istanbul,2005,https://boxd.it/1o7m
8/14/2024,Poor Things,2023,https://boxd.it/tNWU
9/9/2024,Kinds of Kindness,2024,https://boxd.it/CWPw
9/11/2024,Endless,2016,https://boxd.it/ewaE
9/11/2024,The Ballad of Cleopatra,2017,https://boxd.it/gnRe
9/15/2024,X,2022,https://boxd.it/sxVa
9/17/2024,Ramy Youssef: Feelings,2019,https://boxd.it/mDic
9/17/2024,Ramy Youssef: More Feelings,2024,https://boxd.it/KXPS
9/19/2024,Straight Outta Compton,2015,https://boxd.it/8rMc
9/21/2024,The Sweet East,2023,https://boxd.it/CcHw
9/22/2024,Daughters,2024,https://boxd.it/K5f2
9/29/2024,Society,1989,https://boxd.it/1ARc
10/6/2024,Megalopolis,2024,https://boxd.it/lPBS
10/10/2024,The Brood,1979,https://boxd.it/1ovS
10/15/2024,Farinelli,1994,https://boxd.it/1UZq
10/20/2024,Drive-Away Dolls,2024,https://boxd.it/A8vi
10/20/2024,The Substance,2024,https://boxd.it/zanS
11/3/2024,Nights and Weekends,2008,https://boxd.it/J2A
11/4/2024,Sidewalls,2011,https://boxd.it/2EiM
11/26/2024,The Nightman Cometh: Live,2009,https://boxd.it/fmx6
12/3/2024,Look Back,2024,https://boxd.it/LjA6
12/13/2024,We Live in Time,2024,https://boxd.it/FC5u
12/26/2024,Nosferatu,2024,https://boxd.it/f5eG
1/15/2025,Wicked,2024,https://boxd.it/e8ME
1/21/2025,A Real Pain,2024,https://boxd.it/CjNG
2/11/2025,Longlegs,2024,https://boxd.it/KzLM
2/12/2025,A Complete Unknown,2024,https://boxd.it/oBYa
2/17/2025,National Theatre Live: Vanya,2024,https://boxd.it/J8iQ
2/27/2025,Companion,2025,https://boxd.it/F04o
3/3/2025,Anora,2024,https://boxd.it/Egcw
3/7/2025,Permanent Vacation,1980,https://boxd.it/171c
3/10/2025,Roman Holiday,1953,https://boxd.it/29zW
3/17/2025,Moving,1993,https://boxd.it/3RcO
3/22/2025,Absolutely,2021,https://boxd.it/XM14
3/29/2025,Ruby Sparks,2012,https://boxd.it/3w9O
4/14/2025,Dredd,2012,https://boxd.it/GZE
4/28/2025,Heaven Knows What,2014,https://boxd.it/8P1a
4/28/2025,Louis Theroux: The Settlers,2025,https://boxd.it/UlKU
5/12/2025,Trainspotting,1996,https://boxd.it/29XY
5/14/2025,86'd,2018,https://boxd.it/kUpK
5/15/2025,Good Time,2017,https://boxd.it/fcFu
5/15/2025,PVT Chat,2020,https://boxd.it/oXaw
5/17/2025,Walls and People,2013,https://boxd.it/HfSC
5/18/2025,Rif 58-59: Break the Silence,2015,https://boxd.it/EKzK
5/30/2025,Lessons of Darkness,1992,https://boxd.it/x7I
5/31/2025,Little Fish,2020,https://boxd.it/lAFK
6/21/2025,Almost Famous,2000,https://boxd.it/29CQ
6/22/2025,Come and See,1985,https://boxd.it/1w9q
7/10/2025,Opus,2025,https://boxd.it/JBMA
7/19/2025,The Watermelon Woman,1996,https://boxd.it/RRc
7/19/2025,Charli XCX: Alone Together,2021,https://boxd.it/tW2w
7/20/2025,Rent,2005,https://boxd.it/2844
7/23/2025,Superman,2025,https://boxd.it/E9IU
7/25/2025,Lady Bird,2017,https://boxd.it/dGNE
7/27/2025,Me and You and Everyone We Know,2005,https://boxd.it/28RK
8/7/2025,Chicago,2002,https://boxd.it/28zm
8/8/2025,Son of the White Mare,1981,https://boxd.it/10f2
8/12/2025,Babylon,2022,https://boxd.it/mM02
8/18/2025,Yellow Submarine,1968,https://boxd.it/1Sxa
8/23/2025,Shithouse,2020,https://boxd.it/nCFc
9/9/2025,Four Nights of a Dreamer,1971,https://boxd.it/qRa
9/13/2025,American Splendor,2003,https://boxd.it/26kE
9/13/2025,"Sorry, Baby",2025,https://boxd.it/JKNi
9/14/2025,By the Stream,2024,https://boxd.it/Obv4
9/26/2025,Stress Positions,2024,https://boxd.it/K5cs
9/26/2025,"Paris, Texas",1984,https://boxd.it/29Ts
10/13/2025,Stalker,1979,https://boxd.it/28PO
10/16/2025,The Encampments,2025,https://boxd.it/SuEC
10/18/2025,Turnstile: Never Enough,2025,https://boxd.it/URsy
10/19/2025,Portrait of a Young Girl at the End of the 60s in Brussels,1994,https://boxd.it/462a
11/7/2025,Blow-Up,1966,https://boxd.it/2966
11/8/2025,The Doom Generation,1995,https://boxd.it/1PVe
11/9/2025,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK
11/9/2025,Columbus,2017,https://boxd.it/eCuA
